# Rescue Logfile. Created by GNU ddrescue version 1.19
# Command line: ddrescue -i 506600000000 -s 10000000 /dev/sdf /dev/sdg dc_roig.log -nvvf -MA -e 1 -a 100000
# Start time:   2015-02-12 17:18:24
# Current time: 2015-02-12 17:20:47
# Copying non-tried blocks... Pass 1 (forwards)
# current_pos  current_status
0x75F3BC0000     ?
#      pos        size  status
0x1EC8164000  0x00350000  +
0x1EC84B4000  0x00001000  ?
0x1EC84B5000  0x0038A000  +
0x1EC883F000  0x00000200  -
0x1EC883F200  0x00000C00  ?
0x1EC883FE00  0x00000200  -
0x1EC8840000  0x00350000  +
0x1EC8B90000  0x00000200  ?
0x1EC8B90200  0x05569E00  +
0x1ECE0FA000  0x00000200  -
0x1ECE0FA200  0x00000C00  ?
0x1ECE0FAE00  0x00000200  -
0x1ECE0FB000  0x0011A000  +
0x1ECE215000  0x00001000  ?
0x1ECE216000  0x0011A000  +
0x1ECE330000  0x00001000  ?
0x1ECE331000  0x0026F000  +
0x1ECE5A0000  0x00000200  -
0x1ECE5A0200  0x00000C00  ?
0x1ECE5A0E00  0x00000200  -
0x1ECE5A1000  0x0011A000  +
0x1ECE6BB000  0x00001000  ?
0x1ECE6BC000  0x0011A000  +
0x1ECE7D6000  0x00001000  ?
0x1ECE7D7000  0x0011A000  +
0x1ECE8F1000  0x00001000  ?
0x1ECE8F2000  0x0011B000  +
0x1ECEA0D000  0x00001000  ?
0x1ECEA0E000  0x0011A000  +
0x1ECEB28000  0x00001000  ?
0x1ECEB29000  0x0026F000  +
0x1ECED98000  0x00001000  ?
0x1ECED99000  0x0011A000  +
0x1ECEEB3000  0x00000200  -
0x1ECEEB3200  0x00000C00  ?
0x1ECEEB3E00  0x00000200  -
0x1ECEEB4000  0x0011A000  +
0x1ECEFCE000  0x00001000  ?
0x1ECEFCF000  0x0011A000  +
0x1ECF0E9000  0x00001000  ?
0x1ECF0EA000  0x0011A000  +
0x1ECF204000  0x00001000  ?
0x1ECF205000  0x0011A000  +
0x1ECF31F000  0x00001000  ?
0x1ECF320000  0x0038A000  +
0x1ECF6AA000  0x00000200  ?
0x1ECF6AA200  0x35EEBE00  +
0x1F05596000  0x00000200  -
0x1F05596200  0x00000C00  ?
0x1F05596E00  0x00000200  -
0x1F05597000  0x005C0000  +
0x1F05B57000  0x00001000  ?
0x1F05B58000  0x00235000  +
0x1F05D8D000  0x00000200  -
0x1F05D8D200  0x00000C00  ?
0x1F05D8DE00  0x00000200  -
0x1F05D8E000  0x00235000  +
0x1F05FC3000  0x00001000  ?
0x1F05FC4000  0x005C1000  +
0x1F06585000  0x00000200  -
0x1F06585200  0x00000C00  ?
0x1F06585E00  0x00000200  -
0x1F06586000  0x4DFB7000  +
0x1F5453D000  0x00000200  -
0x1F5453D200  0x00000C00  ?
0x1F5453DE00  0x00000200  -
0x1F5453E000  0x007F6000  +
0x1F54D34000  0x00000200  -
0x1F54D34200  0x00000C00  ?
0x1F54D34E00  0x00000200  -
0x1F54D35000  0x0038A000  +
0x1F550BF000  0x00000200  -
0x1F550BF200  0x00000C00  ?
0x1F550BFE00  0x00000200  -
0x1F550C0000  0x00350000  +
0x1F55410000  0x00001000  ?
0x1F55411000  0x0038A000  +
0x1F5579B000  0x00001000  ?
0x1F5579C000  0x00235000  +
0x1F559D1000  0x00000200  -
0x1F559D1200  0x00000C00  ?
0x1F559D1E00  0x00000200  -
0x1F559D2000  0x00235000  +
0x1F55C07000  0x00001000  ?
0x1F55C08000  0x005C0000  +
0x1F561C8000  0x00001000  ?
0x1F561C9000  0x005C0000  +
0x1F56789000  0x00000200  -
0x1F56789200  0x00000C00  ?
0x1F56789E00  0x00000200  -
0x1F5678A000  0x00236000  +
0x1F569C0000  0x00001000  ?
0x1F569C1000  0x0011A000  +
0x1F56ADB000  0x00001000  ?
0x1F56ADC000  0x0011A000  +
0x1F56BF6000  0x00001000  ?
0x1F56BF7000  0x0011A000  +
0x1F56D11000  0x00000200  -
0x1F56D11200  0x00000C00  ?
0x1F56D11E00  0x00000200  -
0x1F56D12000  0x0026F000  +
0x1F56F81000  0x00001000  ?
0x1F56F82000  0x0011A000  +
0x1F5709C000  0x00001000  ?
0x1F5709D000  0x0011A000  +
0x1F571B7000  0x00001000  ?
0x1F571B8000  0x0011A000  +
0x1F572D2000  0x00001000  ?
0x1F572D3000  0x0011A000  +
0x1F573ED000  0x00001000  ?
0x1F573EE000  0x0011A000  +
0x1F57508000  0x00001000  ?
0x1F57509000  0x0026F000  +
0x1F57778000  0x00000200  -
0x1F57778200  0x00000C00  ?
0x1F57778E00  0x00000200  -
0x1F57779000  0x0011A000  +
0x1F57893000  0x00001000  ?
0x1F57894000  0x0011A000  +
0x1F579AE000  0x00001000  ?
0x1F579AF000  0x0011A000  +
0x1F57AC9000  0x00001000  ?
